,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,,
743,14.75,14.91,14.35,14.65,36300,14.401037,4/2/2018,SLP,NA,NA,,
744,14.7,14.75,14.49,14.65,25100,14.401037,4/3/2018,SLP,0,0,,
745,14.5,14.95,14.5,14.85,24000,14.59764,4/4/2018,SLP,0.013652003,0.013651877,,
746,14.9,15.35,14.85,15.25,22700,14.990842,4/5/2018,SLP,0.026935998,0.026936027,,
747,15.25,15.5,15.1,15.3,55400,15.039992,4/6/2018,SLP,0.003278668,0.003278689,,
748,15.4,16.299999,15.34,15.8,128500,15.531496,4/9/2018,SLP,0.032679805,0.032679739,,
749,16.450001,16.85,15.46,16.799999,203000,16.514502,4/10/2018,SLP,0.063291134,0.063291076,0.648964792,U
750,16.799999,16.889999,16.299999,16.65,42000,16.367048,4/11/2018,SLP,-0.008928758,-0.008928512,1.228074573,U
751,16.700001,17.1,16.4,17,60000,16.711103,4/12/2018,SLP,0.021021201,0.021021021,1.097210333,U
752,17,17,16.66,16.85,41000,16.563654,4/13/2018,SLP,-0.008823415,-0.008823529,1.145582345,U
753,16.85,17.15,16.82,17.049999,52400,16.76025,4/16/2018,SLP,0.01186912,0.011869377,0.68214623,U
754,17.15,17.4,17.15,17.35,51900,17.055153,4/17/2018,SLP,0.017595382,0.017595368,0.293880053,E
755,17.4,17.799999,17.25,17.700001,78300,17.399208,4/18/2018,SLP,0.020173082,0.020172968,0.068015254,E
756,17.700001,18,17.549999,17.950001,55300,17.64496,4/19/2018,SLP,0.014124321,0.014124293,-0.270120145,E
757,17.950001,18,17.5,17.85,36500,17.546658,4/20/2018,SLP,-0.005571109,-0.005571086,-1.302958688,D
758,17.85,18,17.65,17.65,45300,17.350058,4/23/2018,SLP,-0.011204413,-0.011204482,-1.320592754,D
759,17.700001,17.799999,17.200001,17.549999,39300,17.3106,4/24/2018,SLP,-0.002274229,-0.005665779,-0.406974782,E
760,17.5,17.85,17.299999,17.700001,38900,17.458557,4/25/2018,SLP,0.008547191,0.008547123,-0.349345308,E
761,17.75,17.799999,17.5,17.65,28800,17.409235,4/26/2018,SLP,-0.00282509,-0.002824915,-0.058278412,E
762,17.700001,17.700001,16.6,16.65,83800,16.422878,4/27/2018,SLP,-0.056657113,-0.056657224,1.797101964,U
763,16.6,17.049999,16.299999,16.450001,104900,16.225607,4/30/2018,SLP,-0.012011963,-0.012011952,2.33507117,U
764,16.450001,17.200001,16.26,17.200001,39900,16.965376,5/1/2018,SLP,0.045592686,0.045592702,1.892391768,U
765,17.25,17.65,17.15,17.4,38400,17.162649,5/2/2018,SLP,0.011627977,0.011627848,1.805741793,U
766,17.4,17.65,17.25,17.6,34500,17.359919,5/3/2018,SLP,0.011494146,0.011494253,1.775786513,U
767,17.549999,18.200001,17.5,18.200001,48200,17.951735,5/4/2018,SLP,0.034090942,0.034090966,0.903052125,U
768,18.200001,18.549999,18.200001,18.5,79700,18.247641,5/7/2018,SLP,0.016483421,0.016483461,0.527474128,U
769,18.549999,19,18.530001,18.9,65600,18.642185,5/8/2018,SLP,0.021621644,0.021621622,0.105033992,E
770,19,19.200001,18.799999,19.049999,47700,18.790138,5/9/2018,SLP,0.007936462,0.007936455,0.366015551,E
771,19.1,19.34,19.1,19.25,35000,18.987413,5/10/2018,SLP,0.010498858,0.010498741,-0.104484209,E
772,19.200001,19.35,18.950001,19.049999,22000,18.790138,5/11/2018,SLP,-0.010389778,-0.010389662,-0.052353948,E
773,19.1,19.35,18.799999,19,38500,18.740822,5/14/2018,SLP,-0.002624568,-0.00262462,-0.209882141,E
774,18.9,19.219999,18.65,19,26700,18.740822,5/15/2018,SLP,0,0,-0.052493488,E
775,19.049999,19.549999,19.049999,19.4,46600,19.135366,5/16/2018,SLP,0.021052652,0.021052632,-0.419947905,E
776,19.450001,19.450001,19.1,19.15,28300,18.888777,5/17/2018,SLP,-0.012886558,-0.012886598,-0.158034581,E
777,19.25,19.33,18.85,19,58300,18.740822,5/18/2018,SLP,-0.007832958,-0.007832898,0.733945656,U
778,19.049999,19.25,18.799999,18.799999,63100,18.54355,5/21/2018,SLP,-0.010526326,-0.010526368,0.522876316,U
779,18.799999,19.049999,18.799999,18.950001,27100,18.691504,5/22/2018,SLP,0.007978731,0.00797883,0.364425509,E
780,19,19.1,18.91,19,108800,18.740822,5/23/2018,SLP,0.002638525,0.00263847,0.207793456,E
781,19.049999,19.1,18.700001,19,20600,18.740822,5/24/2018,SLP,0,0,0.362538104,E
782,19,19.75,19,19.700001,37800,19.431274,5/25/2018,SLP,0.036842141,0.036842158,-0.413259103,E
783,19.75,19.950001,19,19.299999,94700,19.03673,5/29/2018,SLP,-0.020304587,-0.020304669,0.464715398,E
784,19.4,19.450001,19.25,19.299999,36900,19.03673,5/30/2018,SLP,0,0,0.769559328,U
785,19.35,19.4,19.1,19.200001,38900,18.938095,5/31/2018,SLP,-0.0051813,-0.005181244,0.562179041,U
786,19.35,19.450001,19.200001,19.35,27000,19.086048,6/1/2018,SLP,0.007812454,0.007812448,0.760779429,U
